ID,Page_name,Response_time,StartTime,EndTime
7683,01_Login,0.372,26-11-2022 12:35,26-11-2022 12:35
7684,02_Watchlist,0.731,26-11-2022 12:35,26-11-2022 12:35
7685,01_Login,0.551,26-11-2022 12:40,26-11-2022 12:40
7686,02_Watchlist,0.707,26-11-2022 12:40,26-11-2022 12:40
7687,01_Login,0.294,26-11-2022 12:45,26-11-2022 12:45
7688,02_Watchlist,1.002,26-11-2022 12:45,26-11-2022 12:45
7689,01_Login,1.96,26-11-2022 12:50,26-11-2022 12:50
7690,02_Watchlist,4.679,26-11-2022 12:50,26-11-2022 12:50
7691,01_Login,0.578,26-11-2022 01:00,26-11-2022 01:00
7692,02_Watchlist,0.7,26-11-2022 01:00,26-11-2022 01:00
7693,03_Logout,2.21,26-11-2022 01:01,26-11-2022 01:01
7694,01_Login,1.734,26-11-2022 01:05,26-11-2022 01:05
7695,02_Watchlist,0.249,26-11-2022 01:05,26-11-2022 01:05
7696,03_Logout,2.231,26-11-2022 01:06,26-11-2022 01:06
7697,01_Login,0.482,26-11-2022 01:10,26-11-2022 01:10
7698,02_Watchlist,0.737,26-11-2022 01:10,26-11-2022 01:10
7699,03_Logout,2.239,26-11-2022 01:11,26-11-2022 01:11
7700,01_Login,1.168,26-11-2022 01:15,26-11-2022 01:15
7701,02_Watchlist,0.762,26-11-2022 01:15,26-11-2022 01:15
7702,03_Logout,2.236,26-11-2022 01:16,26-11-2022 01:16
7703,01_Login,1.038,26-11-2022 01:20,26-11-2022 01:20
7704,02_Watchlist,0.687,26-11-2022 01:20,26-11-2022 01:20
7705,03_Logout,2.225,26-11-2022 01:21,26-11-2022 01:21
7706,01_Login,0.758,26-11-2022 01:25,26-11-2022 01:25
7707,02_Watchlist,0.74,26-11-2022 01:25,26-11-2022 01:25
7708,03_Logout,2.22,26-11-2022 01:26,26-11-2022 01:26
7709,01_Login,0.712,26-11-2022 01:30,26-11-2022 01:30
7710,02_Watchlist,0.724,26-11-2022 01:30,26-11-2022 01:30
7711,03_Logout,2.279,26-11-2022 01:31,26-11-2022 01:31
7712,01_Login,0.648,26-11-2022 01:35,26-11-2022 01:35
7713,02_Watchlist,0.739,26-11-2022 01:35,26-11-2022 01:35
7714,03_Logout,2.256,26-11-2022 01:36,26-11-2022 01:36
7715,01_Login,1.208,26-11-2022 01:40,26-11-2022 01:40
7716,02_Watchlist,0.728,26-11-2022 01:40,26-11-2022 01:40
7717,03_Logout,2.289,26-11-2022 01:41,26-11-2022 01:41
7718,01_Login,0.493,26-11-2022 01:45,26-11-2022 01:45
7719,02_Watchlist,0.713,26-11-2022 01:45,26-11-2022 01:45
7720,03_Logout,2.296,26-11-2022 01:46,26-11-2022 01:46
7721,01_Login,0.603,26-11-2022 01:50,26-11-2022 01:50
7722,02_Watchlist,0.713,26-11-2022 01:50,26-11-2022 01:50
7723,03_Logout,2.289,26-11-2022 01:51,26-11-2022 01:51
7724,01_Login,1.331,26-11-2022 01:55,26-11-2022 01:55
7725,02_Watchlist,0.737,26-11-2022 01:55,26-11-2022 01:55
7726,03_Logout,2.148,26-11-2022 01:56,26-11-2022 01:56
7727,01_Login,0.597,26-11-2022 02:00,26-11-2022 02:00
7728,02_Watchlist,0.621,26-11-2022 02:00,26-11-2022 02:00
7729,03_Logout,2.267,26-11-2022 02:01,26-11-2022 02:01
7730,01_Login,0.809,26-11-2022 02:05,26-11-2022 02:05
7731,02_Watchlist,0.722,26-11-2022 02:05,26-11-2022 02:05
7732,03_Logout,2.208,26-11-2022 02:06,26-11-2022 02:06
7733,01_Login,0.566,26-11-2022 02:10,26-11-2022 02:10
7734,02_Watchlist,0.723,26-11-2022 02:10,26-11-2022 02:10
7735,03_Logout,2.32,26-11-2022 02:11,26-11-2022 02:11
7736,01_Login,0.391,26-11-2022 02:15,26-11-2022 02:15
7737,02_Watchlist,63.451,26-11-2022 02:15,26-11-2022 02:16
7738,03_Logout,2.382,26-11-2022 02:17,26-11-2022 02:17
7739,01_Login,0.182,26-11-2022 02:25,26-11-2022 02:25
7740,02_Watchlist,0.708,26-11-2022 02:25,26-11-2022 02:25
7741,03_Logout,2.214,26-11-2022 02:26,26-11-2022 02:26
7742,01_Login,1.688,26-11-2022 02:30,26-11-2022 02:30
7743,02_Watchlist,0.713,26-11-2022 02:30,26-11-2022 02:30
7744,03_Logout,2.236,26-11-2022 02:31,26-11-2022 02:31
7745,01_Login,1.032,26-11-2022 02:35,26-11-2022 02:35
7746,02_Watchlist,0.697,26-11-2022 02:35,26-11-2022 02:35
7747,03_Logout,2.284,26-11-2022 02:36,26-11-2022 02:36
7748,01_Login,0.596,26-11-2022 02:40,26-11-2022 02:40
7749,02_Watchlist,0.72,26-11-2022 02:40,26-11-2022 02:40
7750,03_Logout,2.268,26-11-2022 02:41,26-11-2022 02:41
7751,01_Login,1.174,26-11-2022 02:45,26-11-2022 02:45
7752,02_Watchlist,0.699,26-11-2022 02:45,26-11-2022 02:45
7753,03_Logout,2.028,26-11-2022 02:46,26-11-2022 02:46
7754,01_Login,1.038,26-11-2022 02:50,26-11-2022 02:50
7755,02_Watchlist,0.72,26-11-2022 02:50,26-11-2022 02:50
7756,03_Logout,2.115,26-11-2022 02:51,26-11-2022 02:51
7757,01_Login,0.487,26-11-2022 02:55,26-11-2022 02:55
7758,02_Watchlist,0.738,26-11-2022 02:55,26-11-2022 02:55
7759,03_Logout,2.249,26-11-2022 02:56,26-11-2022 02:56
7760,01_Login,1.142,26-11-2022 03:00,26-11-2022 03:00
7761,02_Watchlist,0.724,26-11-2022 03:00,26-11-2022 03:00
7762,03_Logout,2.25,26-11-2022 03:01,26-11-2022 03:01
7763,01_Login,0.519,26-11-2022 03:05,26-11-2022 03:05
7764,02_Watchlist,0.702,26-11-2022 03:05,26-11-2022 03:05
